ID,Area,Mean,Min,Max,X,Y
241,0,46,46,46,740,112
242,0,27,27,27,738,106
243,0,47,47,47,828,134
244,0,50,50,50,872.667,174.667
245,0,35,35,35,865.333,167.333
246,0,21,21,21,856.667,150.667
247,0,28,28,28,817.333,155.333
248,0,21,21,21,819.333,180
249,0,46,46,46,810,131.333
250,0,33,33,33,799.333,128
251,0,37,37,37,811.333,120.667
252,0,55,55,55,816.667,110.667
253,0,48,48,48,828,119.333
254,0,61,61,61,810.667,101.333
255,0,57,57,57,786,108
256,0,43,43,43,774,98.667
257,0,21,21,21,770,85.333
258,0,40,40,40,786.667,82
259,0,36,36,36,796,62.667
260,0,35,35,35,799.333,49.333
261,0,48,48,48,806.667,32
262,0,57,57,57,834,29.333
263,0,47,47,47,844.667,42
264,0,52,52,52,852,43.333
265,0,40,40,40,821.333,49.333
266,0,36,36,36,832.667,48.667
267,0,41,41,41,840.667,76
268,0,41,41,41,838.667,88.667
269,0,39,39,39,833.333,96.667
270,0,47,47,47,828.667,101.333
271,0,27,27,27,852,112.667
272,0,40,40,40,877.333,142
273,0,24,24,24,891.333,146.667
274,0,39,39,39,894.667,135.333
275,0,30,30,30,890,121.333
276,0,26,26,26,885.333,113.333
277,0,51,51,51,920.667,110
278,0,46,46,46,887.333,72.667
279,0,48,48,48,874,74.667
280,0,29,29,29,860,93.333
281,0,41,41,41,884,88.667
282,0,38,38,38,913.333,88
283,0,41,41,41,920.667,84
284,0,39,39,39,926,81.333
285,0,50,50,50,938.667,128
286,0,37,37,37,942.667,158.667
287,0,25,25,25,924.667,164.667
288,0,31,31,31,1015.333,256
289,0,62,62,62,1068,265.333
290,0,24,24,24,1039.333,265.333
291,0,34,34,34,1040,297.333
292,0,33,33,33,1052.667,321.333
293,0,35,35,35,1062.667,319.333
294,0,29,29,29,1064.667,308
295,0,27,27,27,1073.333,282
296,0,39,39,39,849.333,294.667
297,0,22,22,22,832,312.667
298,0,32,32,32,859.333,61.333
299,0,27,27,27,825.333,84.667
300,0,28,28,28,776.667,293.333
301,0,56,56,56,862.667,344.667
302,0,20,20,20,693.333,278
303,0,34,34,34,663.333,275.333
304,0,34,34,34,924,384
305,0,44,44,44,913.333,390.667
306,0,36,36,36,936,395.333
307,0,26,26,26,896.667,411.333
308,0,31,31,31,978,211.333
309,0,50,50,50,992,41.333
310,0,38,38,38,973.333,48
311,0,36,36,36,940,72
312,0,46,46,46,937.333,57.333
313,0,41,41,41,932.667,48
314,0,31,31,31,911.333,38
315,0,47,47,47,881.333,19.333
316,0,49,49,49,894.667,10
317,0,40,40,40,935.333,16
318,0,60,60,60,969.333,10
319,0,39,39,39,976.667,21.333
320,0,38,38,38,938,31.333
321,0,56,56,56,1054.667,20.667
322,0,39,39,39,1023.333,18
323,0,49,49,49,1024.667,2.667
324,0,35,35,35,1073.333,5.333
325,0,36,36,36,1087.333,10.667
326,0,47,47,47,1078,21.333
327,0,20,20,20,1117.333,8
328,0,47,47,47,1122,21.333
329,0,41,41,41,1111.333,56.667
330,0,40,40,40,1122,49.333
331,0,27,27,27,1108.667,41.333
332,0,30,30,30,1107.333,32.667
333,0,32,32,32,1096,30.667
334,0,36,36,36,1092,40.667
335,0,40,40,40,1052.667,63.333
336,0,43,43,43,1058.667,72.667
337,0,50,50,50,1055.333,100.667
338,0,53,53,53,1094,130.667
339,0,43,43,43,1082,128
340,0,34,34,34,1066.667,127.333
341,0,33,33,33,1054.667,124.667
342,0,46,46,46,1024.667,115.333
343,0,34,34,34,1009.333,118.667
344,0,50,50,50,968.667,122.667
345,0,35,35,35,980,115.333
346,0,51,51,51,1022,132
347,0,36,36,36,1038.667,141.333
348,0,28,28,28,1022,153.333
349,0,34,34,34,1057.333,148.667
350,0,30,30,30,1070,156.667
351,0,46,46,46,1088,164.667
352,0,37,37,37,1092.667,180.667
353,0,67,67,67,1126,191.333
354,0,36,36,36,1113.333,164
355,0,38,38,38,1111.333,156
356,0,32,32,32,1058.667,192
357,0,30,30,30,1043.333,195.333
358,0,38,38,38,1094.667,208
359,0,30,30,30,1080.667,195.333
360,0,28,28,28,1053.333,230.667
361,0,27,27,27,1070.667,234.667
362,0,30,30,30,1088.667,240
363,0,62,62,62,1024.667,193.333
364,0,47,47,47,1001.333,183.333
365,0,28,28,28,994,181.333
366,0,43,43,43,984,175.333
367,0,35,35,35,986.667,166.667
368,0,26,26,26,996,73.333
369,0,25,25,25,996,84.667
370,0,31,31,31,1019.333,88.667
371,0,42,42,42,1018.667,102.667
372,0,26,26,26,1016,68.667
373,0,19,19,19,1020,78
374,0,27,27,27,1031.333,53.333
375,0,21,21,21,1046,54
376,0,48,48,48,1072,47.333
377,0,31,31,31,1028.667,42
378,0,37,37,37,1074,90
379,0,30,30,30,1075.333,98.667
380,0,31,31,31,1105.333,90.667
381,0,31,31,31,1104.667,104
382,0,55,55,55,1115.333,85.333
383,0,37,37,37,1128,98
384,0,29,29,29,1053.333,79.333
385,0,69,69,69,997.333,402.667
386,0,36,36,36,966,425.333
387,0,41,41,41,954.667,428
388,0,32,32,32,984.667,430.667
389,0,28,28,28,905.333,398
390,0,24,24,24,928,410.667
391,0,28,28,28,938,420.667
392,0,29,29,29,938.667,427.333
393,0,35,35,35,932,438.667
394,0,33,33,33,925.333,451.333
395,0,56,56,56,904.667,462
396,0,29,29,29,898.667,462
397,0,32,32,32,914,450
398,0,38,38,38,1006.667,454
399,0,40,40,40,966.667,466.667
400,0,28,28,28,987.333,465.333
401,0,22,22,22,1016,442.667
402,0,36,36,36,1004.667,437.333
403,0,20,20,20,999.333,446
404,0,38,38,38,1006.667,418
405,0,31,31,31,1014.667,415.333
406,0,42,42,42,1036.667,428.667
407,0,42,42,42,1032,400
408,0,41,41,41,1068.667,429.333
409,0,35,35,35,1075.333,436.667
410,0,44,44,44,1083.333,450
411,0,19,19,19,1071.333,448.667
412,0,32,32,32,1052,447.333
413,0,34,34,34,1032.667,456.667
414,0,48,48,48,1072.667,469.333
415,0,51,51,51,1096.667,505.333
416,0,45,45,45,1100.667,500.667
417,0,38,38,38,1122.667,488
418,0,32,32,32,1094,474.667
419,0,30,30,30,1072,509.333
420,0,30,30,30,1043.333,494
421,0,60,60,60,1012.667,500
422,0,23,23,23,1021.333,494.667
423,0,24,24,24,1022.667,476
424,0,27,27,27,999.333,477.333
425,0,26,26,26,981.333,485.333
426,0,21,21,21,966,500.667
