 ,Area,Mean,Min,Max,X,Y
2093,0,30,30,30,1141.000,879.333
2094,0,51,51,51,1154.000,870.333
2095,0,48,48,48,1150.667,876.667
2096,0,24,24,24,1126.333,836.667
2097,0,36,36,36,1125.333,822.000
2098,0,31,31,31,1117.000,815.667
2099,0,52,52,52,1083.333,920.333
2100,0,42,42,42,1148.667,904.000
2101,0,36,36,36,1127.000,929.333
2102,0,26,26,26,1127.333,908.000
2103,0,29,29,29,1142.667,919.333
2104,0,32,32,32,1151.333,926.000
2105,0,22,22,22,1156.000,936.000
2106,0,23,23,23,1161.000,923.000
2107,0,29,29,29,1121.000,955.667
2108,0,19,19,19,1160.667,986.000
2109,0,21,21,21,1167.333,1018.667
2110,0,17,17,17,1151.000,1014.333
2111,0,22,22,22,1136.000,1015.333
2112,0,25,25,25,1104.333,932.667
2113,0,24,24,24,1118.333,940.333
2114,0,29,29,29,1085.000,939.667
2115,0,30,30,30,1047.000,954.667
2116,0,22,22,22,947.667,1009.667
2117,0,41,41,41,940.667,1021.667
2118,0,53,53,53,963.333,1020.000
2119,0,21,21,21,891.667,873.000
2120,0,20,20,20,877.333,863.000
2121,0,21,21,21,859.333,845.333
2122,0,30,30,30,934.333,847.667
2123,0,20,20,20,955.667,866.000
2124,0,14,14,14,1036.333,863.000
2125,0,25,25,25,1079.333,876.667
2126,0,28,28,28,1164.000,850.333
2127,0,37,37,37,1216.500,896.500
2128,0,47,47,47,1239.000,899.500
2129,0,36,36,36,1187.500,861.000
2130,0,35,35,35,1195.000,941.000
2131,0,24,24,24,1216.000,955.500
2132,0,42,42,42,1248.000,960.500
2133,0,37,37,37,1250.500,936.500
2134,0,26,26,26,1255.000,930.000
2135,0,21,21,21,1249.000,918.000
2136,0,23,23,23,1262.000,924.000
2137,0,31,31,31,1298.500,913.500
2138,0,17,17,17,1277.000,911.500
2139,0,26,26,26,1320.500,918.500
2140,0,31,31,31,1323.500,943.500
2141,0,20,20,20,1298.500,944.500
2142,0,21,21,21,1336.000,939.000
2143,0,34,34,34,1352.000,957.500
2144,0,34,34,34,1330.500,966.500
2145,0,34,34,34,1353.500,997.000
2146,0,28,28,28,1328.000,989.500
2147,0,25,25,25,1320.500,1007.000
2148,0,31,31,31,1307.000,1007.000
